3794,4023,4168,4301,4527,4670,4773,4917,5117,5276,5405,5547,5803,5915,6058,6294,6428,6552,6683,6924,7053,7196,7428,7554,7679,7827,8054,8190,8305,8558,8686,8816,8935,9190,9329,9442,9702,9838,9968,10088,10353,10451,10597,10851,10982,11113,11231,11472,11607,11734,11880,12127,12247,12381,12624,12759,12878,13004,13238,13389,13512,13758,13911,14051,14166,14420,14535,14662,14914,15056,15177,15307,15569,15714,15819,16104,344,301,427,641,736,843,1099,1188,1301,1421,1685,1813,1932,2038,2294,2418,2530,2789,2916,3011,3160,3409,3524,3683,3873,4052,4121,4273,4548,4681,4784,5038,5091,5279,5418,5673,5786,5927,6180,6346,6423,6493,6758,6980,7073,7298,7412,7580,7687,7983,8070,8190
8205,8542,8696,8838,9082,9241,9296,9466,9694,9840,9981,10227,10238,10469,10598,10855,10991,11107,11356,11499,11604,11770,11999,12119,12258,12491,12597,12736,12880,13138,13273,13400,13662,13780,13910,14040,14282,14406,14574,14655,14909,15064,15189,15455,15580,15514,15839,16071,345,308,533,639,753,860,1106,1221,1361,1586,1690,1806,1920,2179,2301,2409,2663,2780,2913,3038,3288,3622,3540,3775,3922,4029,4168,4410,4530,4661,4788,5042,5162,5302,5540,5654,5765,5925,6169,6295,6417,6657,6802,6942,7053,7314,7429,7557,7835,7948,8055,8151,8427,8568,8685,8947,9061,9199,9327,9562,9695,9845,10084,10210,10345,10464,10716,10832,10979,11053,11352,11480,11617,11864,12007,12114,12216,12503,12626,12751
13040,13102,13258,13383,13654,13772,13970,14085,14284,14424,14531,14783,15007,15057,15289,15442,15564,15653,15953,16080,337,403,543,640,732,966,1124,1223,1349,1581,1686,1794,2263,2108,2295,2448,2674,2793,2871,3175,3305,3424,3506,3784,3895,4037,4274,4436,4514,4680,4926,5037,5170,5402,5551,5686,5788,6044,6182,6303,6544,6684,6807,6940,7174,7295,7451,7528,7807,7896,8066,8308,8442,8546,8734,8940,9096,9213,9472,9562,9724,9918,10081,10196,10336,10613,10755,10859,10898,11248,11367,11518,11725,11859,12020,12117,12357,12514,12617,12894,13008,13134,13259,13516,13644,13777,13892,14165,14306,14420,14667,14790,14925,15052,15299,15434,15564,15804,15973,16046,259,414,508,635,878,967,1095,1207
1474,1558,1696,1925,2059,2169,2306,2539,2684,2765,3029,3163,3283,3401,3673,3803,3922,4030,4278,4418,4520,4795,4906,5022,5189,5431,5530,5673,5925,6037,6176,6300,6546,6643,6788,7049,7190,7320,7438,7671,7805,7941,8185,8310,8436,8560,8841,8939,9090,9336,9471,9579,9676,9870,10074,10233,10346,10551,10725,10854,11144,11236,11357,11484,11805,11907,12041,12242,12365,12490,12639,12852,13021,13152,13391,13504,13652,13716,14062,14168,14285,14563,14654,14784,14946,15157,15322,15470,15657,15798,15935,16111,450,367,489,644,908,972,1078,1340,1455,1532,1697,1922,2085,2171,2444,2557,2668,2786,3068,3167,3288,3531,3665,3799,3893,4150,4295,4362,4674,4787,4902,5015,5295,5429,5537,5790
5924,6085,6170,6386,6558,6588,6775,7046,7190,7326,7548,7722,7877,7930,8190,8314,8413,8678,8813,8931,9071,9334,9457,9573,9831,9967,10077,10213,10473,10565,10714,10965,11096,11228,11358,11613,11731,11875,12120,12244,12363,12502,12730,12890,13024,13112,13392,13526,13609,13908,14021,14150,14278,14544,14691,14807,15100,15199,15300,15442,15583,15825,15950,354,308,390,528,712,822,972,1217,1315,1450,1577,1794,1932,2041,2286,2399,2546,2672,2911,3041,3180,3296,3532,3670,3791,4039,4147,4297,4359,4660,4801,4908,5164,5277,5410,5536,5787,5925,6026,6291,6452,6561,6691,6914,7048,7221,7432,7535,7671,7716,8077,8170,8307,8368,8767,8825,8923,9181,9327,9481,9546,9844,9999,10075,10334
10501,10592,10734,11000,11095,11224,11459,11634,11721,11878,12112,12246,12383,12597,12720,12882,13010,13289,13402,13522,13752,13895,14015,14154,14396,14536,14643,14913,15056,15190,15289,15560,15685,15824,15970,348,315,393,608,745,844,953,1217,1330,1442,1676,1798,1948,2094,2298,2435,2522,2772,2910,3042,3176,3402,3534,3654,3932,4045,4144,4324,4510,4669,4800,5037,5192,5284,5423,5692,5799,5916,6070,6292,6419,6536,6805,6946,7030,7155,7398,7559,7680,7955,8091,8234,8308,8560,8683,8825,9052,9252,9330,9446,9704,9838,9963,10232,10343,10461,10598,10834,10967,11123,11344,11484,11612,11740,11998,12127,12249,12383,12565,12746,12871,13144,13241,13394,13530,13784,13907,14032,14285,14408,14579,14663,14916
15042,15184,15444,15576,15701,15659,16067,375,310,538,640,745,857,1102,1200,1240,1568,1676,1807,1932,2170,2292,2404,2542,2788,2897,3042,3277,3423,3529,3669,3896,4042,4162,4392,4525,4667,4787,5036,5171,5285,5537,5685,5830,5889,6150,6296,6411,6696,6798,6885,6972,7310,7459,7552,7805,7995,8051,8230,8443,8576,8678,8838,9062,9210,9324,9571,9701,9835,9961,10204,10338,10531,10752,10877,10983,11133,11361,11488,11613,11828,11925,12123,12240,12508,12608,12759,12988,13231,13269,13392,13664,13868,13935,14104,14303,14414,14535,14794,14935,15062,14791,15431,15583,15672,15924,16102,330,326,501,643,750,1001,1092,1218,1325,1603,1696,1868,2068,2140,2298,2420,2650,2828,2903,3158,3318
3379,3542,3796,3891,4060,4252,4408,4530,4672,4904,5043,5172,5285,5510,5656,5804,6049,6184,6297,6417,6690,6796,6930,7164,7307,7429,7552,7831,7938,8054,8314,8428,8561,8689,8958,9076,9202,9447,9575,9696,9903,10077,10211,10333,10578,10711,10848,10949,11220,11350,11497,11625,11870,12016,12085,12372,12496,12610,12733,13052,13129,13261,13520,13630,13771,13910,14142,14292,14418,14658,14789,14918,15047,15303,15457,15555,15809,15949,16086,324,417,538,631,857,982,1089,1203,1449,1574,1686,1809,2064,2168,2308,2534,2684,2814,2926,3141,3279,3421,3687,3789,3924,4045,4288,4404,4528,4837,4900,5034,5176,5414,5541,5673,5926,6049,6177,6296,6489,6721,6782,7030,7192,7281,7406,7680,7822
7921,8069,8297,8414,8554,8812,8916,9063,9173,9454,9564,9726,9968,10071,10228,10336,10601,10728,10875,11115,11241,11364,11498,11760,11869,11985,12235,12326,12513,12633,12886,12932,13150,13415,13500,13640,13766,14023,14184,14324,14407,14671,14817,14976,15137,15317,15449,15535,15819,15963,16114,449,353,702,610,863,969,1098,1312,1442,1594,1692,1929,2069,2168,2409,2527,2674,2797,3007,3173,3289,3535,3656,3785,3906,4172,4280,4406,4585,4791,4872,5038,5295,5425,5502,5665,5918,6040,6187,6384,6546,6686,6800,7044,7190,7307,7561,7703,7813,7942,8177,8317,8434,8684,8801,8941,9065,9467,9455,9575,9835,9904,10090,10205,10458,10546,10732,10848,11100,11240,11387,11614,11716,11854,11990,12235,12366
12497,12746,13021,13035,13131,13385,13525,13638,13892,14043,14164,14300,14541,14642,14812,15041,15183,15310,15430,15684,15809,15960,6590,319,398,533,756,872,971,1100,1319,1439,1582,1808,1924,2044,2171,2437,2533,2665,2909,3044,3171,3273,3524,3667,3792,4076,4232,4307,4408,4669,4810,4916,5165,5276,5414,5548,5809,5898,6108,6279,6404,6561,6682,6894,7049,7158,7318,7556,7645,7832,8064,8193,8323,8454,8675,8812,8922,9186,9337,9428,9549,9854,9965,10070,10337,10527,10566,10677,10961,11109,11217,11505,11616,11711,11892,12112,12188,12376,12628,12736,12921,12993,13258,13388,13526,13629,13902,14023,14182,14409,14545,14643,14784,15060,15164,15307,15575,15715,15819,15970,359,286,395,631,748,874
